ISO3_CODE,COUNTRY_NAME,AREA,maus_id,area_km2,d_ind_km,nearest_ind,industrial_flag,proposed_label,source,lon,lat,poly,area_ha,ndvi,tex,npts,industrial_new,industrial_old
GHA,Ghana,0.01813302100712918,GHA_M00027,0.018054850315271622,2.8666088052204404,Obuasi,True,industrial,MausV2 (GHA box),-1.668944293785314,6.133486327683615,27,1.8054850315244695,,,,False,True
GHA,Ghana,0.31643410073699285,GHA_M00028,0.31506997281909016,1.9060780060207894,Obuasi,True,industrial,MausV2 (GHA box),-1.6746952797202794,6.137593401968403,28,31.506997281938332,,,,True,True
GHA,Ghana,0.030180502918081147,GHA_M00029,0.030050369870949806,1.3412395628540776,Obuasi,True,industrial,MausV2 (GHA box),-1.6989067888662617,6.13737875084861,29,3.005036987108933,,,,False,True
GHA,Ghana,0.9141264187487763,GHA_M00030,0.9101886991549312,2.7222847910046157,Awaso,True,industrial,MausV2 (GHA box),-2.291181756862744,6.253280878431373,30,91.01886991546972,0.15991013497114176,0.024577151803829453,2.0,True,True
GHA,Ghana,0.399504966963898,GHA_M00031,0.3977855482551252,5.096459604653689,Chirano,False,"mining, unclassified",MausV2 (GHA box),-2.3962641593600975,6.262383192329382,31,39.778554825521596,,,,True,False
GHA,Ghana,0.07503845188264711,GHA_M00032,0.0747150693244865,0.8835810285850854,Awaso,True,industrial,MausV2 (GHA box),-2.2763312312312323,6.230546082446082,32,7.471506932450751,,,,False,True
GHA,Ghana,0.030851029624675806,GHA_M00033,0.030718079828515182,0.6869306934292387,Awaso,True,industrial,MausV2 (GHA box),-2.2738188579017256,6.233655776892431,33,3.0718079828511065,,,,False,True
GHA,Ghana,0.011308276835334957,GHA_M00034,0.01125954008654497,3.979527637876586,Awaso,True,industrial,MausV2 (GHA box),-2.2999376811594194,6.218262681159421,34,1.1259540086557662,,,,False,True
GHA,Ghana,0.030913268589628572,GHA_M00035,0.030780042480388493,4.0008155779089725,Awaso,True,industrial,MausV2 (GHA box),-2.3014837640821724,6.220034062292909,35,3.0780042480405347,,,,False,True
GHA,Ghana,0.4100960913010847,GHA_M00036,0.408328969722564,1.5219176704282902,Awaso,True,industrial,MausV2 (GHA box),-2.2847616064738507,6.235278705230028,36,40.832896972254055,0.2917594611644745,0.0193739880870316,1.0,True,True
GHA,Ghana,0.08195524512015191,GHA_M00037,0.08160302641262401,8.016864319415753,Asanko (Manso Nkwanta),False,"mining, unclassified",MausV2 (GHA box),-1.9264026986506748,6.406107296351825,37,8.160302641262538,,,,False,False
GHA,Ghana,1.1144334704697545,GHA_M00038,1.1096382493908734,22.408467521655382,Asanko (Manso Nkwanta),False,"mining, unclassified",MausV2 (GHA box),-2.062932653361267,6.354089638695921,38,110.96382493909034,,,,True,False
GHA,Ghana,0.9921820410703924,GHA_M00039,0.9879141470959325,13.82990979766442,Obuasi,False,"mining, unclassified",MausV2 (GHA box),-1.6763223729303438,6.2809886019241095,39,98.79141470960585,,,,True,False
GHA,Ghana,0.4359812572460641,GHA_M00040,0.4341060835275424,15.782788652103513,Obuasi,False,"mining, unclassified",MausV2 (GHA box),-1.689589626497532,6.29393694620625,40,43.41060835277636,,,,True,False
GHA,Ghana,0.11091557997484562,GHA_M00041,0.11043849681588595,16.009496912610842,Obuasi,False,"mining, unclassified",MausV2 (GHA box),-1.6979736842105264,6.294526629732226,41,11.043849681588325,,,,False,False
GHA,Ghana,0.6233253916873923,GHA_M00042,0.6206725158903026,6.07085766490691,Akyem,False,"mining, unclassified",MausV2 (GHA box),-1.0467914925078852,6.306407423107254,42,62.067251589022185,,,,True,False
GHA,Ghana,0.09431427365013428,GHA_M00043,0.09391334974748224,1.6081438211866517,Akyem,True,industrial,MausV2 (GHA box),-1.0305717698154193,6.349583930510312,43,9.391334974758234,,,,False,True
GHA,Ghana,1.906875961014754,GHA_M00044,1.898675592076584,16.474167732844943,Obuasi,False,"mining, unclassified",MausV2 (GHA box),-1.7160358854552709,6.314639490220091,44,189.86755920769804,0.6072300970554352,0.0372504764924841,4.0,True,False
GHA,Ghana,0.32018511583385617,GHA_M00045,0.31882425623979627,1.94577883643837,Akyem,True,industrial,MausV2 (GHA box),-1.013112262521589,6.336369660333908,45,31.882425623978143,0.7529593706130981,0.0313610323716424,1.0,True,True
GHA,Ghana,0.2705990368113831,GHA_M00046,0.26944866211954854,1.9360127563484382,Akyem,True,industrial,MausV2 (GHA box),-1.0229603088101713,6.33776148955495,46,26.94486621197454,0.6630091965198517,0.029102235440323948,2.0,True,True
GHA,Ghana,0.7788727636574754,GHA_M00047,0.7755235689442032,20.2082026963599,Obuasi,False,"mining, unclassified",MausV2 (GHA box),-1.7454003839276317,6.330157599663403,47,77.55235689443244,0.5290087163448334,0.027319798816021652,2.0,True,False
GHA,Ghana,11.203950931722607,GHA_M00048,11.156319706681606,0.0,Akyem,True,industrial,MausV2 (GHA box),-1.0286431238780485,6.342770016890967,48,1115.631970668087,0.06496832892298696,0.032523001233715695,54.0,True,True
GHA,Ghana,12.288278902208202,GHA_M00049,12.23542733473823,0.0,Chirano,True,industrial,MausV2 (GHA box),-2.383200793746041,6.307819101910191,49,1223.5427334737215,0.3321133255958557,0.031633666194884454,50.0,True,True
GHA,Ghana,0.24506040857054975,GHA_M00050,0.24400418351789596,1.1427222277320965,Obuasi,True,industrial,MausV2 (GHA box),-1.685872661148734,6.1594477468439095,50,24.40041835178797,,,,True,True
GHA,Ghana,0.05759225127284897,GHA_M00051,0.0573440250919356,1.3495790410087705,Obuasi,True,industrial,MausV2 (GHA box),-1.690626467449305,6.162320668801137,51,5.734402509196259,0.2807664275169372,0.0409723835552586,1.0,True,True
GHA,Ghana,0.35096257526068564,GHA_M00052,0.3494496376275067,2.2571343374054034,Obuasi,True,industrial,MausV2 (GHA box),-1.7123639696438993,6.16208719206071,52,34.944963762750305,0.4159004688262939,0.0291445819164336,1.0,True,True
GHA,Ghana,0.16668817213207,GHA_M00053,0.16596975051155474,3.1062564038985667,Obuasi,True,industrial,MausV2 (GHA box),-1.7085816740412985,6.1739827802359875,53,16.59697505113877,,,,False,True
GHA,Ghana,0.09932393672015803,GHA_M00054,0.09889590536868875,3.09439659708575,Obuasi,True,industrial,MausV2 (GHA box),-1.6990486592409237,6.177157219471948,54,9.889590536866306,,,,False,True
GHA,Ghana,0.13995431430650657,GHA_M00055,0.1393510974567872,1.5428977130326027,Obuasi,True,industrial,MausV2 (GHA box),-1.6943979797979787,6.163761499048459,55,13.935109745675264,,,,False,True
GHA,Ghana,0.1046124854671361,GHA_M00056,0.10416164281365209,1.8629251980744477,Obuasi,True,industrial,MausV2 (GHA box),-1.6806385624755191,6.163078535056795,56,10.416164281368898,,,,False,True
GHA,Ghana,0.15439743446127593,GHA_M00057,0.15373206441060014,2.1465858269671747,Obuasi,True,industrial,MausV2 (GHA box),-1.6814193471337566,6.1670256236730365,57,15.373206441041479,0.2330097258090973,0.0521171122887659,1.0,False,True
GHA,Ghana,0.8913437534561628,GHA_M00058,0.8875025094515286,2.0459036964636015,Obuasi,True,industrial,MausV2 (GHA box),-1.690315149634532,6.171136429458007,58,88.75025094517459,,,,True,True
GHA,Ghana,0.04124431489610788,GHA_M00059,0.04106649142531211,0.6779717391409367,Obuasi,True,industrial,MausV2 (GHA box),-1.695221609538004,6.141516294088426,59,4.106649142537608,,,,False,True
GHA,Ghana,0.06712140746749247,GHA_M00060,0.06683201660267991,0.9380493232339591,Obuasi,True,industrial,MausV2 (GHA box),-1.7013427960927963,6.145381532356533,60,6.683201660267211,,,,False,True
GHA,Ghana,0.31237285181686775,GHA_M00061,0.3110261538589747,0.0782636866802793,Obuasi,True,industrial,MausV2 (GHA box),-1.6937587170405357,6.145215131837857,61,31.102615385899274,,,,True,True
GHA,Ghana,0.12127255545610577,GHA_M00062,0.12074965950900281,2.3619360790573394,Obuasi,True,industrial,MausV2 (GHA box),-1.7158255110660605,6.148786940361548,62,12.074965950905153,,,,False,True
GHA,Ghana,0.10154104186247966,GHA_M00063,0.10110335259163528,0.5370237637100166,Obuasi,True,industrial,MausV2 (GHA box),-1.6878590597255854,6.1537785916061365,63,10.110335259176527,,,,False,True
GHA,Ghana,0.02089828345897204,GHA_M00064,0.0208081883689921,1.5686527089789795,Obuasi,True,industrial,MausV2 (GHA box),-1.7060372549019627,6.153629411764706,64,2.0808188368960074,,,,False,True
GHA,Ghana,0.10529085665077645,GHA_M00065,0.10483697737796488,0.20392185232669852,Obuasi,True,industrial,MausV2 (GHA box),-1.6912727378867498,6.151725277291303,65,10.483697737810052,,,,False,True
GHA,Ghana,0.038784678770103664,GHA_M00066,0.03861749451121868,0.594520248208162,Obuasi,True,industrial,MausV2 (GHA box),-1.6919344955097715,6.15460913893291,66,3.8617494511210184,,,,False,True
GHA,Ghana,0.14025804677740455,GHA_M00067,0.13965365090185494,3.0398741392050765,Obuasi,True,industrial,MausV2 (GHA box),-1.69226327782647,6.177416622845458,67,13.965365090164681,,,,False,True
GHA,Ghana,0.05869667285434717,GHA_M00068,0.05844373902421729,3.4086769851476233,Obuasi,True,industrial,MausV2 (GHA box),-1.6963621291448505,6.179977661431065,68,5.844373902411729,,,,False,True
GHA,Ghana,0.08432615854789252,GHA_M00069,0.08396280250877727,3.605179234781255,Obuasi,True,industrial,MausV2 (GHA box),-1.69395442176871,6.182304616132169,69,8.396280250887077,,,,False,True
GHA,Ghana,2.511460330736683,GHA_M00070,2.50063880107226,4.832767154361697,Obuasi,True,industrial,MausV2 (GHA box),-1.7177037287195414,6.195343863641926,70,250.0638801072177,0.36619843542575836,0.03270939687152495,8.0,True,True
GHA,Ghana,0.21031404071715618,GHA_M00071,0.20940804630624288,6.391966221777845,Obuasi,False,"mining, unclassified",MausV2 (GHA box),-1.7075047340736416,6.206587853107343,71,20.940804630648767,0.1851048469543457,0.0172162631670815,1.0,True,False
GHA,Ghana,1.2504817960220092,GHA_M00072,1.245119037860026,1.3139626413764118,Bibiani,True,industrial,MausV2 (GHA box),-2.324818378608506,6.47375174141573,72,124.51190378602477,0.3734076917171478,0.0529647653350445,1.0,True,True
GHA,Ghana,0.18809401562818134,GHA_M00073,0.18728689891528105,3.116201181672542,Asanko (Manso Nkwanta),True,industrial,MausV2 (GHA box),-1.8499560853472676,6.465889658175483,73,18.72868989153449,0.6602972149848938,0.0383207326601124,1.0,False,True
