roi,id,lon,lat,cls_ndvi,ndvi_ann,NDWI_p50,patch_ha,d_mb_m,explained
TAP,TAP_P01182,-56.50993460315045,-7.002675282355467,forest,0.7301465030951171,-0.632976233959198,3842.1278497334474,152.97058540778355,False
TAP,TAP_P01185,-57.55409429197846,-5.33014691927886,forest,0.8632124385935129,-0.7158176898956299,93.95113582153608,120.0,False
TAP,TAP_P01188,-56.73472551596323,-7.637850784015136,bare/non-forest,0.30256806074379616,-0.3258178830146789,9991.219089903321,84.8528137423857,True
TAP,TAP_P01189,-56.432997448160336,-6.229454701877222,forest,0.5288135411095476,-0.4797980487346649,252.2390844989058,30.0,False
TAP,TAP_P01192,-56.35571002773531,-7.646614542541328,water,-0.3596059209727073,0.2845528423786163,40.14312755045038,67.0820393249937,True
TAP,TAP_P01193,-57.39956832174321,-5.973858465183067,forest,0.8073337536266447,-0.698439359664917,2568.233036550785,60.0,False
TAP,TAP_P01194,-56.9697348561391,-7.063770863466009,forest,0.7667818420635603,-0.6881530284881592,1846.9119318392366,30.0,False
TAP,TAP_P01196,-56.99888568649676,-5.837927748067004,forest,0.844936691496221,-0.7260331511497498,50.62451505876233,67.0820393249937,False
TAP,TAP_P01197,-56.05969754627644,-6.346231908417517,forest,0.8381796159496904,-0.708987295627594,349.45344360715586,108.16653826391968,False
TAP,TAP_P01199,-57.18729031104983,-7.285256469299374,forest,0.8483263606886163,-0.738895058631897,54.361084845853156,152.97058540778355,False
TAP,TAP_P01201,-56.38926997885467,-6.992694305505131,forest,0.802926533263699,-0.7117214798927307,39.45989188394207,379.47331922020555,False
TAP,TAP_P01202,-57.4858677695328,-4.920558984819205,forest,0.8185328244829129,-0.6872547268867493,179.9353346099783,30.0,False
TAP,TAP_P01203,-56.94679251345588,-7.049820099793823,water,-0.16850053293754647,0.103162445127964,1512.8545122012727,30.0,True
TAP,TAP_P01204,-57.16342629889887,-5.492592283727799,forest,0.7966145442098208,-0.7014627456665039,1380.3456256924787,150.0,False
TAP,TAP_P01206,-56.901266818990834,-5.776518751304301,forest,0.8414903627195431,-0.7307578325271606,1231.4065370376056,284.60498941515414,False
TAP,TAP_P01207,-57.33600768985968,-6.061242134168862,forest,0.8643915530722851,-0.7413339018821716,1622.7644649724284,152.97058540778355,False
TAP,TAP_P01208,-56.53790814235488,-7.045821632838739,forest,0.8365137316600539,-0.7064683437347412,3842.1278497334474,150.0,False
TAP,TAP_P01209,-56.64518698519929,-6.975938665117396,forest,0.7225191589487231,-0.6296914219856262,1008.8881937929187,120.0,False
TAP,TAP_P01210,-57.46218268261431,-4.8561768846283,bare/non-forest,0.4914120136229784,-0.4963157773017883,304.5920224318205,30.0,True
TAP,TAP_P01212,-56.24222696827584,-6.784972896404844,forest,0.7858873704172507,-0.6955177783966064,75.13642452347395,42.42640687119285,False
TAP,TAP_P01214,-57.291224020482254,-5.822135707900251,forest,0.6195035487881858,-0.5759714841842651,36.54843819941288,30.0,False
TAP,TAP_P01215,-57.49301892378605,-5.287200522537962,forest,0.8235469487471969,-0.712335467338562,176.86781416895252,228.47319317591726,False
TAP,TAP_P01216,-56.84295856370117,-7.0898146060875336,forest,0.7209302335655192,-0.6351487040519714,397.75589165722465,30.0,False
TAP,TAP_P01218,-57.61145282106504,-6.880268276135177,forest,0.8248389079343533,-0.7142062783241272,325.31826304198074,134.1640786499874,False
TAP,TAP_P01219,-57.1948335131275,-7.400567764048826,forest,0.824521066103323,-0.7284716963768005,2430.777471602475,152.97058540778355,False
TAP,TAP_P01220,-56.86631702652468,-5.553482618370351,forest,0.8387233449004268,-0.701166033744812,459.7917665954982,270.0,False
TAP,TAP_P01221,-57.45770834774317,-5.0109991629728485,forest,0.7630672978633624,-0.6488586664199829,735.601238367819,30.0,False
TAP,TAP_P01222,-57.024685073429936,-6.84872553835759,forest,0.8019093075576051,-0.722087025642395,284.34523282491125,150.0,False
TAP,TAP_P01223,-55.48752766585251,-5.415796315787345,forest,0.7728142952253408,-0.6776677966117859,371.69104591283815,60.0,False
TAP,TAP_P01224,-57.01178671861971,-7.119723432946011,forest,0.8642140384888528,-0.7630755305290222,656.5650394138568,152.97058540778355,False
TAP,TAP_P01226,-56.49989204405991,-6.598066204270707,forest,0.8140135653252148,-0.6861289143562317,1052.397171449675,210.0,False
TAP,TAP_P01227,-56.20280326111847,-6.7226622892319,forest,0.8394091665888327,-0.7159175872802734,1896.608348381681,180.0,False
TAP,TAP_P01229,-56.471532956422,-5.781542629338738,forest,0.8398772962494014,-0.7201241850852966,132.50852886499555,60.0,False
TAP,TAP_P01230,-57.03600990242129,-7.161878322211012,forest,0.8439450634312949,-0.7383002042770386,309.769241219543,161.55494421403512,False
TAP,TAP_P01232,-56.80678475653911,-5.416737771059789,forest,0.8140417420195097,-0.7076244354248047,1838.6847913386882,30.0,False
TAP,TAP_P01234,-57.30049311670502,-7.126644349427941,bare/non-forest,0.46857597529702755,-0.3269813656806946,155.62776985340005,30.0,True
TAP,TAP_P01235,-56.85775283576419,-7.048142713575569,forest,0.7974254811972039,-0.7103597521781921,160.0016959420981,84.8528137423857,False
TAP,TAP_P01237,-56.40436510002895,-6.489442302192235,forest,0.8296191732846091,-0.7306170463562012,84.1220329393119,67.0820393249937,False
TAP,TAP_P01238,-57.589320895687926,-5.16507635057903,forest,0.7965624125622207,-0.6712959408760071,28.506865105415002,30.0,False
TAP,TAP_P01239,-56.41154018974071,-6.815142404613621,forest,0.8005780377355086,-0.7023351192474365,375.51327781678646,123.69316876852982,False
TAP,TAP_P01240,-56.95177230038031,-7.087822097411235,forest,0.8238095276812355,-0.7131180763244629,1846.9119318392366,161.55494421403512,False
TAP,TAP_P01241,-57.04622483814199,-5.763924705980199,forest,0.876112030585431,-0.7633533477783203,2348.048398524063,152.97058540778355,False
TAP,TAP_P01242,-57.180888011059736,-7.269869130773097,forest,0.8409031316360707,-0.7345559000968933,191.11012352923873,134.1640786499874,False
TAP,TAP_P01243,-56.53283673104757,-7.012092138878944,forest,0.7887130102217493,-0.6821221709251404,3842.1278497334474,67.0820393249937,False
TAP,TAP_P01244,-56.719285729758965,-7.066082539756286,forest,0.8330434751435506,-0.7271317839622498,698.8827912718284,216.33307652783935,False
TAP,TAP_P01245,-57.61455493858244,-6.859237864963277,forest,0.8088962099968835,-0.7075292468070984,325.31826304198074,84.8528137423857,False
TAP,TAP_P01246,-57.04704959523245,-6.950437494975905,forest,0.7220360706530445,-0.6631999611854553,383.16344756746946,84.8528137423857,False
TAP,TAP_P01248,-56.59073638464372,-5.417950217791084,forest,0.8429118810403944,-0.7346186637878418,50.99418002291,180.0,False
TAP,TAP_P01249,-56.93428590252356,-6.885578280673835,forest,0.8106956766804978,-0.6699826121330261,1012.8044767743654,90.0,False
TAP,TAP_P01250,-57.42144687738692,-6.285715157304256,forest,0.799158485631095,-0.6817035675048828,599.5998986372902,150.0,False
TAP,TAP_P01252,-56.78237914546006,-7.55357096156703,forest,0.8255319068662826,-0.745955228805542,9991.219089903321,67.0820393249937,False
TAP,TAP_P01253,-56.8270419876215,-5.209937581805171,forest,0.8668500718770925,-0.7292354702949524,19.317133018783277,90.0,False
TAP,TAP_P01254,-56.565203244210906,-7.333236422031968,forest,0.5550601714922323,-0.508963942527771,1400.357443306783,216.33307652783935,False
TAP,TAP_P01255,-57.48753126485574,-5.160220375218702,forest,0.845922358838189,-0.7207642793655396,1623.9711795345822,90.0,False
TAP,TAP_P01256,-56.8821170553486,-5.735681000453857,forest,0.842814863604244,-0.7271364331245422,213.57887280773227,201.24611797498108,False
TAP,TAP_P01257,-55.953993399054696,-6.207629235321357,forest,0.5962924806339579,-0.5090521574020386,1362.2993807535643,67.0820393249937,False
TAP,TAP_P01258,-56.1891855581623,-6.833441844339804,bare/non-forest,0.3637972695893212,-0.3175964951515198,306.68345628742895,30.0,True
TAP,TAP_P01259,-56.9679438358755,-6.9030063097083385,forest,0.8093077514614183,-0.7201520800590515,1012.8044767743654,216.33307652783935,False
TAP,TAP_P01260,-56.70469907294287,-5.31383459435169,forest,0.8444576897973612,-0.748369038105011,422.2038321084615,150.0,False
TAP,TAP_P01261,-56.98142972569302,-7.076394867688795,forest,0.8681598371665967,-0.7533019781112671,1846.9119318392366,283.0194339616981,False
TAP,TAP_P01262,-56.69536667649443,-7.645321381432735,forest,0.8268261056556621,-0.7279114723205566,9991.219089903321,30.0,False
TAP,TAP_P01263,-57.45048085064817,-5.171564825221297,forest,0.8090010985925872,-0.7039132714271545,1623.9711795345822,123.69316876852982,False
TAP,TAP_P01264,-56.321121670346486,-6.79573823234886,water,-0.19698401060468307,0.0962301567196846,1375.8358951947446,30.0,True
TAP,TAP_P01266,-57.35279752230348,-7.0252679733042775,forest,0.7862376054088328,-0.6931518316268921,172.65004880088762,67.0820393249937,False
TAP,TAP_P01267,-56.73586972763975,-6.042925252619163,forest,0.8184377099531125,-0.7211874127388,145.68765880020308,189.73665961010278,False
TAP,TAP_P01269,-57.08281264250175,-5.559680592132323,forest,0.8441117286113569,-0.7079012989997864,80.8696183143744,150.0,False
TAP,TAP_P01271,-56.74610838665178,-6.614455576107748,forest,0.6615630032075406,-0.5880634784698486,763.3836055500649,90.0,False
TAP,TAP_P01272,-56.91269509196648,-7.054218741016215,forest,0.7036958326334779,-0.5995231866836548,2030.3979470351633,30.0,False
TAP,TAP_P01273,-57.45269962271795,-6.918531654595363,forest,0.8437682955628643,-0.7450365424156189,324.06766038088307,180.0,False
TAP,TAP_P01274,-56.68380609482889,-5.772209287083647,forest,0.780876502400747,-0.6969913840293884,1909.7384285300964,60.0,False
TAP,TAP_P01275,-56.3520554263399,-6.12963109792917,forest,0.8277511833565989,-0.7153483629226685,644.558099770636,30.0,False
TAP,TAP_P01276,-56.87844599882041,-5.4718657999467855,forest,0.8293874493167696,-0.7065537571907043,30.84167002069555,161.55494421403512,False
TAP,TAP_P01278,-56.30349333941015,-7.280479953784668,bare/non-forest,0.47719808126946844,-0.5144135355949402,135.36210899162168,67.0820393249937,True
TAP,TAP_P01279,-56.33561351854459,-7.306576632375999,forest,0.8016411483663872,-0.7143950462341309,1063.6012068494724,42.42640687119285,False
TAP,TAP_P01280,-56.84255042623263,-7.02573481041351,forest,0.8298359488644298,-0.6930555701255798,48.6969148236886,84.8528137423857,False
TAP,TAP_P01282,-57.26586614257248,-7.15815558250118,forest,0.8539529341403554,-0.7419354915618896,6532.483013953644,94.86832980505139,False
TAP,TAP_P01283,-57.123784390895615,-7.139647402853102,forest,0.871500357195319,-0.7585808038711548,63.55143917676648,94.86832980505139,False
TAP,TAP_P01284,-56.19834311948834,-6.380627233500165,forest,0.78113138137481,-0.6585074067115784,81.87339405581022,30.0,False
TAP,TAP_P01285,-56.4583139048756,-5.708895003703813,forest,0.8069087737319668,-0.6891781687736511,931.0072091678815,60.0,False
TAP,TAP_P01286,-56.45317362534581,-6.985510830414201,forest,0.8637075723424982,-0.7572992444038391,368.27769986479944,84.8528137423857,False
TAP,TAP_P01287,-57.37137632784604,-7.09270120033457,forest,0.8542926198601909,-0.7433353662490845,97.85166088897026,342.05262752974136,False
TAP,TAP_P01289,-55.9436227204522,-6.207451002841337,bare/non-forest,0.4665042563142458,-0.3713776171207428,1142.5444204523114,30.0,True
TAP,TAP_P01290,-57.33304037922365,-6.067795125608743,forest,0.8027441962675418,-0.735424816608429,1622.7644649724284,30.0,False
TAP,TAP_P01292,-56.87705214290187,-5.732928724578799,forest,0.8434722006206904,-0.7311835289001465,213.57887280773227,426.38011210655685,False
TAP,TAP_P01293,-55.30257507922092,-5.987745880112981,forest,0.8485139074886224,-0.7480282783508301,626.1641849371455,134.1640786499874,False
TAP,TAP_P01294,-57.355554366570566,-6.084537595485271,forest,0.7506243383140896,-0.670005202293396,1622.7644649724284,60.0,False
TAP,TAP_P01295,-56.654766593429656,-7.228187254404658,forest,0.8490083142733971,-0.7484524250030518,152.95665919174735,182.48287590894657,False
TAP,TAP_P01296,-56.6902552743796,-7.221134016061717,forest,0.66508918408805,-0.5812345147132874,163.88532026467217,30.0,False
TAP,TAP_P01297,-56.03605035528012,-6.377160367917708,forest,0.8529127033896824,-0.7282220721244812,130.48970241353655,127.27922061357854,False
TAP,TAP_P01298,-57.32934889730864,-6.082782554274396,forest,0.8210961705162058,-0.7243947982788086,1622.7644649724284,201.24611797498108,False
TAP,TAP_P01300,-57.11442415208096,-5.579466353348139,forest,0.7865239214199253,-0.6867933869361877,439.3920696679941,67.0820393249937,False
TAP,TAP_P01302,-56.52539399201711,-7.037418798553283,bare/non-forest,0.46422805430226965,-0.4814289212226867,3842.1278497334474,120.0,True
