id,lon,lat,kind,NDVI_p50,NDWI_p50,B11_p50,B12_p50
TAP_P01876,-56.91345012648413,-5.743272457699103,vegetated,0.821574330329895,-0.7035885453224182,0.1556500047445297,0.063400000333786
TAP_P01877,-56.53272317820967,-6.293648421420982,vegetated,0.6799217462539673,-0.6161825656890869,0.2134999930858612,0.1044000014662742
TAP_P01878,-57.018369133925646,-6.8787148159699605,vegetated,0.4516889452934265,-0.3801980316638946,0.151199996471405,0.0751999989151954
TAP_P01879,-56.91355196219073,-7.007486628651801,vegetated,0.833406925201416,-0.7320658564567566,0.1587000042200088,0.0669666677713394
TAP_P01881,-56.9046122340044,-5.542575164439581,vegetated,0.7605118751525879,-0.683695912361145,0.1693000048398971,0.0705000013113021
TAP_P01882,-56.735841576772856,-6.917686542390509,vegetated,0.7356947660446167,-0.641274631023407,0.1617500036954879,0.0721499994397163
TAP_P01883,-57.371680298903776,-6.056384750146385,vegetated,0.8249529600143433,-0.7204281687736511,0.1486500054597854,0.0634500011801719
TAP_P01884,-56.94716410987866,-6.889102178677076,vegetated,0.8209941387176514,-0.7142235040664673,0.1651500016450882,0.0692909061908721
TAP_P01885,-57.11445276889823,-5.584167232703033,vegetated,0.826256275177002,-0.7291727662086487,0.1636500060558319,0.0706999972462654
TAP_P01886,-57.14234076931425,-7.400942805724704,vegetated,0.8336196541786194,-0.7321038842201233,0.1764000058174133,0.0764999985694885
TAP_P01887,-56.9917190519897,-7.146665993486225,vegetated,0.5634207725524902,-0.509462296962738,0.169850006699562,0.0910999998450279
TAP_P01888,-57.10241973452021,-5.65658944140617,vegetated,0.8851597309112549,-0.756488025188446,0.1517000049352646,0.0577999986708164
TAP_P01889,-57.593244501891206,-5.177295627945993,vegetated,0.8009764552116394,-0.7001296281814575,0.1864500045776367,0.0795999988913536
TAP_P01893,-57.348467416879885,-5.793755430565196,vegetated,0.8300381302833557,-0.7275913953781128,0.1528999954462051,0.061099998652935
TAP_P01896,-57.01704713624409,-4.989028500478361,vegetated,0.8400442004203796,-0.7331317663192749,0.1862500011920929,0.0825000032782554
TAP_P01897,-56.73446591104701,-7.082123961201965,vegetated,0.5511695742607117,-0.5315315127372742,0.1952999979257583,0.1089000031352043
TAP_P01898,-57.58174414471042,-5.561354593256012,vegetated,0.8086147904396057,-0.7134416699409485,0.1743000000715255,0.0736000016331672
TAP_P01899,-57.062905891928,-5.70456827855107,vegetated,0.854454755783081,-0.7431145310401917,0.1768999993801117,0.0746999979019165
TAP_P01900,-56.13592705516592,-5.843999018747232,vegetated,0.818010687828064,-0.7046189904212952,0.1257999986410141,0.0544000007212162
TAP_P01901,-56.665898188104286,-5.202864871635612,vegetated,0.8580389618873596,-0.7625426650047302,0.1644999980926513,0.066600002348423
TAP_P01903,-57.30736960848772,-5.880357334503407,vegetated,0.8285982608795166,-0.7308241724967957,0.1789000034332275,0.0750000029802322
TAP_P01904,-57.56394290570065,-6.878424840104357,vegetated,0.8225349187850952,-0.710959255695343,0.1539500057697296,0.061099998652935
TAP_P01906,-57.187357785892914,-7.283759311521356,vegetated,0.8693738579750061,-0.7604275345802307,0.1316999942064285,0.0560000017285347
TAP_P01908,-57.14943620042365,-7.272644934367335,vegetated,0.8510127663612366,-0.7315336465835571,0.1650000065565109,0.0689499974250793
TAP_P01909,-57.31877394460444,-7.15494357748195,vegetated,0.843181848526001,-0.7420718669891357,0.1571000069379806,0.066100001335144
TAP_P01911,-56.64882637659038,-6.974749930856998,vegetated,0.8359946012496948,-0.726554811000824,0.1501999944448471,0.0606999993324279
TAP_P01912,-56.99598688976666,-7.031827618131341,vegetated,0.7720047235488892,-0.6894629001617432,0.1927500069141388,0.0842500030994415
